incident_id,incident_summary,resolving_article_ids,is_answerable,requires_multi_doc,resolution_status,source,capability_class,expected_sections,expected_page,requires_extractor
STR-05,what is the maintenance window for the identity service and who is its owner,,true,false,Only the nested FIELD/VALUE tables inside the p15 catalogue rows hold the window,manual_stressor,nested_table,5.2,15,true
STR-06,what was the last entry in the INC0010023 journal and what time was it,,true,false,The journal runs off the foot of p25 and finishes on p26; the last entry is only on the continuation page,manual_stressor,page_crossing,7.1,26,true
STR-07,which work note closed the VPN incident and how long did the whole thing take,,true,false,Needs the p25 journal and the p26 continuation stitched into one table to see the close,manual_stressor,page_crossing,7.1,26,true
STR-08,what assignment group and assignee are recorded on incident INC0010023,,true,false,The p25 incident form is label-above-value pairs; read as lines the labels detach from their values,manual_stressor,form_parsing,7.1,25,true
STR-09,what impact and urgency did the caller record on INC0010023,,true,false,The form's combined Impact / Urgency field,manual_stressor,key_value,7.1,25,true
STR-10,was there an SLA breach on INC0010023 and against what target,,true,false,The form's Breach field pairs a 48 minute closure with a 3-day target,manual_stressor,key_value,7.1,25,true
STR-11,what is the difference between a problem and a known error in this manual,,true,false,p29 states the distinction in a two-column comparison table with a callout box under it,manual_stressor,table,8.3,29,true
STR-12,which known error covers the SAP GUI RFC timeout and what is its permanent fix,,true,false,This is the known-error register on p30 and not the problem register on p29; answering from p29 is the failure this row measures,manual_stressor,table,8.3,30,true
STR-13,what approval record covers CHG0030455 against the incident,,true,false,10.4 is a raster screenshot; the section is findable and the payload must say the pixels were not read,manual_stressor,ocr,10.4,35,true
STR-14,which agent stages screen the incident text for embedded instructions,,true,false,p41 is two columns read left then right; the enforcement stage list is in the right column,manual_stressor,layout,11.7,41,true
STR-15,what is the contractual SLA attainment measure and what is it used for,,true,false,The p44 measure table has a DEFINITION column and a WHAT IT IS USED FOR column,manual_stressor,table,12.2,44,true
STR-16,what counts as impact 2 and what counts as urgency 2,,true,false,Appendix C's two-column scale,manual_stressor,merged_header,Appendix C,49,true
STR-17,should impact be counted by how many people are blocked or by how many are inconvenienced,,true,false,The prose line under the Appendix C scale reverses the usual reading,manual_stressor,layout,Appendix C,49,true
STR-18,how do I read the run log for the integration failure in the appendix,,true,false,"11.8's run log is a dark-theme screenshot; findable as a section, not readable as text",manual_stressor,ocr,11.8,42,true
STR-19,is there a documented resolution target for the temperature sensor fleet,,false,false,Intentionally unanswerable: no section of the manual covers a sensor fleet,manual_stressor,unanswerable,,,
STR-20,what is the retention period for closed incident records after closure,,false,false,Intentionally unanswerable: the manual sets no retention period,manual_stressor,unanswerable,,,
